TheTime,O3,NO,NO2,NOx,T,RH,P,Lite,O3CellP,O3CellT,O3Flow,NOxReacT,NOxConvT,NOxFlow
852,33.51667,0.2689297,0.9928858,1.331571,36.64915,14.61678,1016.278,2.303122,975.75,36.2,1788.167,49.99039,338.3156,1
853,32.25,0.3528759,1.228255,1.582719,37.37167,14.74567,1016.254,2.300208,975.7167,36.2,1790.333,49.99921,338.4153,1
854,30.01667,3.754674,-0.5362788,2.698314,37.26333,13.7295,1016.222,2.298085,975.7167,36.26667,1793.167,50.02235,338.3954,1
855,30.25,1.244611,2.261696,3.824517,36.88271,14.50644,1016.242,2.297475,975.7167,36.3,1787.333,50.02235,338.3954,1
856,32.23333,0.2791583,0.9312351,1.337339,37.10617,14.31767,1016.253,2.297105,975.7167,36.3,1787.833,49.9817,338.555,1
857,33.05,0.262957,0.9606175,1.227882,36.87883,14.17867,1016.228,2.29882,975.6667,36.3,1785.5,50.02573,338.4552,1
858,34.25,0.248427,0.9710803,1.229238,35.88627,14.29949,1016.211,2.30362,975.7,36.3,1787.167,50.00717,338.4552,1
859,33.28333,0.2971129,0.9430752,1.243003,35.72417,15.10817,1016.222,2.304618,975.7,36.3,1788.833,50.01564,338.4153,1
860,32.36667,0.2578238,1.03007,1.284941,36.82033,14.6665,1016.296,2.305108,975.6667,36.4,1792,50.01738,338.4353,1
861,33.96667,0.2549297,0.9498933,1.207264,37.0639,13.68695,1016.262,2.303039,975.6833,36.4,1791.333,50.02024,338.4951,1
862,33.1,0.2907818,0.9014456,1.1814,36.86933,14.0105,1016.217,2.301515,975.6333,36.4,1791.167,50.0413,338.4752,1
863,34.08333,0.241114,0.9276429,1.170274,37.2715,13.80733,1016.19,2.300862,975.6,36.4,1790.667,50.00613,338.7146,1
864,33.51667,0.2701857,0.9274591,1.183714,37.32576,13.74983,1016.168,2.300381,975.6,36.43333,1787.833,50.03078,338.4552,1
865,34.01667,0.2474755,0.8837493,1.144487,37.41617,13.7255,1016.171,2.300535,975.6167,36.5,1788.167,50.03218,338.4952,1
866,33.86667,0.3128533,0.8839071,1.166574,37.02883,13.83833,1016.212,2.3047,975.6167,36.5,1788,50.02939,338.6348,1
867,33.75,0.232935,0.927813,1.163112,35.85525,14.96983,1016.207,2.310264,975.6333,36.5,1787,50.02781,338.575,1
868,33.26667,0.2609839,0.8839808,1.144779,35.42933,15.37683,1016.215,2.31714,975.65,36.5,1783.5,50.00144,338.6348,1
869,34.15,0.2355781,0.9007085,1.153718,35.256,15.43283,1016.203,2.326977,975.6667,36.56667,1788.5,50.00836,338.5949,1
870,32.9,0.4742638,1.171545,1.712958,35.35508,15.92288,1016.202,2.316859,975.6,36.6,1792.333,50.02044,338.6548,1
871,32.08333,0.3702116,1.783132,2.26036,34.88817,16.01883,1016.181,2.322648,975.6167,36.6,1789.333,50.04799,338.8343,1
872,32.1,0.5016279,1.308896,1.788518,34.37917,16.2115,1016.19,2.325915,975.6,36.6,1793.667,50.02861,338.6149,1
873,33.96667,0.274551,0.9222308,1.259762,33.58,17.01492,1016.171,2.325446,975.6167,36.63333,1789.833,50.00292,338.7944,1
